username,followers_count,following_count,posts_count,engagement_rate,avg_views,avg_likes,avg_comments,avg_shares,avg_saves,followers_14d_ago,followers_growth_14d,followers_growth_rate_14d,posts_count_14d,is_verified
lourikimohamed,148288,200,593,0.5,2614,717,30,37,59,148442,-154,-0.1,0,false
the9o9o,7789,3149,322,7.63,2075,578,15,29,47,7789,0,0.0,0,false
lifewithayajabri,295554,1260,134,17.72,183284,52154,213,2618,4189,296328,-774,-0.26,0,false
kennedyclairewalsh,1725402,473,393,8.3,501179,142737,457,7159,11455,1726702,-1300,-0.08,0,false
nadzsnacks,330886,275,605,2.11,24486,6885,111,349,559,329386,1500,0.46,0,false
manalbenchlikha,4632682,1149,151,2.91,471523,133793,928,6736,10777,4596682,36000,0.78,0,false
ibtissam_fajar,19422,2073,373,1.18,798,207,21,11,18,19440,-18,-0.09,0,false
saifbenniss,2089,338,1,3.26,238,65,3,3,5,2089,0,0.0,0,false
simbarashecha,34787,248,474,0.27,325,91,2,4,7,34346,441,1.28,0,false
badgalberry,29820,825,5,4.15,4333,1202,36,61,99,29857,-37,-0.12,0,false
tasnim_cheham_officiel,314430,880,64,21.89,240852,68267,548,3440,5505,312430,2000,0.64,0,false
aitamonamour,66562,1260,421,0.8,1869,512,22,26,42,66562,0,0.0,0,false
soultanahmed,114116,7293,981,1.96,7840,2188,52,112,179,114559,-443,-0.39,0,false
kohinor.hotelspa,5547,1234,192,1.13,217,61,1,3,4,5547,0,0.0,0,false
